name,lat,lon,住所,URL,備考
東京消防庁狛江消防署,35.6407955,139.5682032,狛江市和泉本町１丁目２３−１０ 東京消防庁狛江消防署,https://www.tfd.metro.tokyo.lg.jp/hp-komae/index.html,このように任意の項目を追加できます
東京消防庁狛江消防署猪方出張所,35.6272414,139.5762182,東京都狛江市猪方２丁目５−１６ 狛江消防署猪方出張所,https://www.https://www.tfd.metro.tokyo.lg.jp/hp-komae/index.html,このように任意の項目を追加できます
